,officer_age_1,officer_age_10,officer_age_11,officer_age_2,officer_age_3,officer_age_4,officer_age_5,officer_age_6,officer_age_7,officer_age_8,officer_age_9,officer_caused_injury_2,officer_caused_injury_3,officer_gender_1,officer_gender_10,officer_gender_11,officer_gender_2,officer_gender_3,officer_gender_4,officer_gender_5,officer_gender_6,officer_gender_7,officer_gender_8,officer_gender_9,officer_on_duty,officer_race_1,officer_race_10,officer_race_11,officer_race_2,officer_race_3,officer_race_4,officer_race_5,officer_race_6,officer_race_7,officer_race_8,officer_race_9
66,37.0,,,,,,,,,,,OTHER - SPECIFY TYPE OF CALL,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
67,27.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
68,38.0,,,26.0,,,,,,,,,,MALE,,,FEMALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
69,26.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
70,34.0,,,39.0,36.0,,,,,,,,,MALE,,,MALE,MALE,,,,,,,True,WHITE,,,WHITE,WHITE,,,,,,
71,46.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
72,46.0,,,41.0,45.0,,,,,,,OTHER - SPECIFY TYPE OF CALL,,MALE,,,MALE,MALE,,,,,,,True,HISPANIC,,,HISPANIC,WHITE,,,,,,
73,30.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
74,36.0,,,30.0,27.0,,,,,,,,,MALE,,,MALE,MALE,,,,,,,True,WHITE,,,WHITE,WHITE,,,,,,
75,32.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
76,25.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
77,36.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
78,25.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
79,36.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
80,47.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
81,38.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
82,41.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,BLACK,,,,,,,,,,
83,36.0,,,32.0,41.0,,,,,,,"HOSTAGE, BARRICADE, OR OTHER EMERGENCY SITUATION",,MALE,,,MALE,MALE,,,,,,,True,BLACK,,,WHITE,WHITE,,,,,,
84,53.0,,,42.0,50.0,44.0,,,,,,,,MALE,,,MALE,MALE,MALE,,,,,,True,WHITE,,,WHITE,HISPANIC,WHITE,,,,,
85,50.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
86,27.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
87,29.0,,,38.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
88,33.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
89,52.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
90,59.0,,,26.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,WHITE,,,HISPANIC,,,,,,,
91,31.0,,,37.0,32.0,47.0,,,,,,OTHER - SPECIFY TYPE OF CALL,TRAFFIC STOP,FEMALE,,,MALE,MALE,MALE,,,,,,True,HISPANIC,,,HISPANIC,HISPANIC,BLACK,,,,,
92,52.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
93,29.0,,,,,,,,,,,OTHER - SPECIFY TYPE OF CALL,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
94,26.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
95,26.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
96,29.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
97,27.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,BLACK,,,,,,,,,,
98,60.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
99,35.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,BLACK,,,,,,,,,,
100,35.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,BLACK,,,,,,,,,,
101,35.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
102,37.0,,,,,,,,,,,OTHER - SPECIFY TYPE OF CALL,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
103,36.0,,,42.0,,,,,,,,TRAFFIC STOP,EXECUTION OF A WARRANT,MALE,,,MALE,,,,,,,,True,WHITE,,,WHITE,,,,,,,
104,42.0,,,43.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,HISPANIC,,,HISPANIC,,,,,,,
105,24.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
106,24.0,,,,,,,,,,,,,MALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
107,42.0,,,40.0,,,,,,,,,,FEMALE,,,MALE,,,,,,,,True,OTHER,,,WHITE,,,,,,,
108,25.0,,,29.0,31.0,34.0,46.0,,,,,,,MALE,,,MALE,MALE,MALE,MALE,,,,,True,WHITE,,,WHITE,WHITE,WHITE,WHITE,,,,
109,25.0,,,29.0,31.0,34.0,46.0,,,,,,,MALE,,,MALE,MALE,MALE,MALE,,,,,True,WHITE,,,WHITE,WHITE,WHITE,WHITE,,,,
110,31.0,,,25.0,29.0,34.0,46.0,,,,,,,MALE,,,MALE,MALE,MALE,MALE,,,,,True,WHITE,,,WHITE,WHITE,WHITE,WHITE,,,,
111,25.0,,,29.0,31.0,34.0,46.0,,,,,,,MALE,,,MALE,MALE,MALE,MALE,,,,,True,WHITE,,,WHITE,WHITE,WHITE,WHITE,,,,
112,40.0,,,48.0,46.0,47.0,,,,,,,,MALE,,,MALE,MALE,MALE,,,,,,True,HISPANIC,,,HISPANIC,HISPANIC,HISPANIC,,,,,
113,29.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
114,49.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
115,31.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
116,25.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
117,28.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
118,37.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
119,32.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
120,33.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,BLACK,,,,,,,,,,
121,39.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
122,43.0,,,,,,,,,,,,,FEMALE,,,,,,,,,,,False,WHITE,,,,,,,,,,
123,28.0,,,47.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,OTHER,,,WHITE,,,,,,,
124,34.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
125,26.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
126,29.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
127,30.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
128,39.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
129,41.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
130,33.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
131,31.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
132,41.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
133,49.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
134,35.0,,,,,,,,,,,"HOSTAGE, BARRICADE, OR OTHER EMERGENCY SITUATION",,MALE,,,,,,,,,,,True,WHITE,,,,,,,,,,
135,21.0,,,38.0,,,,,,,,,,MALE,,,MALE,,,,,,,,True,HISPANIC,,,WHITE,,,,,,,
136,33.0,,,27.0,44.0,38.0,38.0,,,,,,,MALE,,,MALE,MALE,MALE,MALE,,,,,True,WHITE,,,WHITE,WHITE,WHITE,WHITE,,,,
137,40.0,,,,,,,,,,,,,MALE,,,,,,,,,,,True,HISPANIC,,,,,,,,,,
