FIPS,county,cqr_census_2010_count,july1_2018_pop_est,jan1_2019_pop_est,num_chg_10_18,num_chg_10_19,pct_chg_10_18,pct_chg_10_19
001,Anderson,58458,58979,58854,521,396,0.9,0.7
003,Andrews,14786,18678,19232,3892,4446,26.3,30.1
005,Angelina,86771,91687,92353,4916,5582,5.7,6.4
007,Aransas,23158,23724,23031,566,-127,2.4,-0.5
009,Archer,9054,9459,9625,405,571,4.5,6.3
011,Armstrong,1901,1948,1949,47,48,2.5,2.5
013,Atascosa,44911,50233,50276,5322,5365,11.9,11.9
015,Austin,28417,31504,31724,3087,3307,10.9,11.6
017,Bailey,7165,7179,7256,14,91,0.2,1.3
019,Bandera,20485,22723,22874,2238,2389,10.9,11.7
021,Bastrop,74171,88157,88296,13986,14125,18.9,19.0
023,Baylor,3726,3753,3740,27,14,0.7,0.4
025,Bee,31861,33240,33039,1379,1178,4.3,3.7
027,Bell,310235,353634,356587,43399,46352,14.0,14.9
029,Bexar,1714773,1979294,1991779,264521,277006,15.4,16.2
031,Blanco,10497,11772,11835,1275,1338,12.1,12.7
033,Borden,641,667,666,26,25,4.1,3.9
035,Bosque,18212,18916,18882,704,670,3.9,3.7
037,Bowie,92565,97397,97488,4832,4923,5.2,5.3
039,Brazoria,313166,375517,383058,62351,69892,19.9,22.3
041,Brazos,194851,226294,228292,31443,33441,16.1,17.2
043,Brewster,9232,9249,9128,17,-104,0.2,-1.1
045,Briscoe,1637,1516,1535,-121,-102,-7.4,-6.2
047,Brooks,7223,7215,7242,-8,19,-0.1,0.3
049,Brown,38106,39279,39470,1173,1364,3.1,3.6
051,Burleson,17187,18392,18381,1205,1194,7.0,6.9
053,Burnet,42750,47649,48190,4899,5440,11.5,12.7
055,Caldwell,38066,42593,42956,4527,4890,11.9,12.8
057,Calhoun,21381,21955,21915,574,534,2.7,2.5
059,Callahan,13544,14142,14102,598,558,4.4,4.1
061,Cameron,406220,425827,425849,19607,19629,4.8,4.8
063,Camp,12401,12850,12843,449,442,3.6,3.6
065,Carson,6182,6106,6158,-76,-24,-1.2,-0.4
067,Cass,30464,30819,30892,355,428,1.2,1.4
069,Castro,8062,7646,7672,-416,-390,-5.2,-4.8
071,Chambers,35096,43018,43819,7922,8723,22.6,24.9
073,Cherokee,50845,53427,53375,2582,2530,5.1,5.0
075,Childress,7041,6993,7007,-48,-34,-0.7,-0.5
077,Clay,10752,10410,10428,-342,-324,-3.2,-3.0
079,Cochran,3127,2929,2931,-198,-196,-6.3,-6.3
081,Coke,3320,3359,3340,39,20,1.2,0.6
083,Coleman,8895,8505,8483,-390,-412,-4.4,-4.6
085,Collin,782341,1003919,1018952,221578,236611,28.3,30.2
087,Collingsworth,3057,2959,2943,-98,-114,-3.2,-3.7
089,Colorado,20874,21730,21662,856,788,4.1,3.8
091,Comal,108472,146941,149993,38469,41521,35.5,38.3
093,Comanche,13974,13922,13915,-52,-59,-0.4,-0.4
095,Concho,4087,2239,2044,-1848,-2043,-45.2,-50.0
097,Cooke,38437,40095,40176,1658,1739,4.3,4.5
099,Coryell,75388,73992,74095,-1396,-1293,-1.9,-1.7
101,Cottle,1505,1375,1373,-130,-132,-8.6,-8.8
103,Crane,4375,4711,4696,336,321,7.7,7.3
105,Crockett,3719,3456,3428,-263,-291,-7.1,-7.8
107,Crosby,6059,5796,5769,-263,-290,-4.3,-4.8
109,Culberson,2398,2175,2154,-223,-244,-9.3,-10.2
111,Dallam,6703,7311,7310,608,607,9.1,9.1
113,Dallas,2368139,2646173,2650320,278034,282181,11.7,11.9
115,Dawson,13833,12581,12544,-1252,-1289,-9.1,-9.3
117,Deaf Smith,19372,19538,19461,166,89,0.9,0.5
119,Delta,5231,5282,5254,51,23,1.0,0.4
121,Denton,662614,851828,861357,189214,198743,28.6,30.0
123,De Witt,20097,20938,20860,841,763,4.2,3.8
125,Dickens,2444,2255,2271,-189,-173,-7.7,-7.1
127,Dimmit,9996,10308,10020,312,24,3.1,0.2
129,Donley,3677,3346,3359,-331,-318,-9.0,-8.6
131,Duval,11782,10985,10949,-797,-833,-6.8,-7.1
133,Eastland,18583,18458,18416,-125,-167,-0.7,-0.9
135,Ector,137130,163349,165230,26219,28100,19.1,20.5
137,Edwards,2002,1913,1912,-89,-90,-4.4,-4.5
139,Ellis,149610,178965,182439,29355,32829,19.6,21.9
141,El Paso,800647,852552,855623,51905,54976,6.5,6.9
143,Erath,37890,43016,43366,5126,5476,13.5,14.5
145,Falls,17866,17355,17346,-511,-520,-2.9,-2.9
147,Fannin,33915,35320,35347,1405,1432,4.1,4.2
149,Fayette,24554,25857,25816,1303,1262,5.3,5.1
151,Fisher,3974,3777,3708,-197,-266,-5.0,-6.7
153,Floyd,6446,5715,5698,-731,-748,-11.3,-11.6
155,Foard,1336,1215,1205,-121,-131,-9.1,-9.8
157,Fort Bend,585375,779600,786213,194225,200838,33.2,34.3
159,Franklin,10605,10785,10748,180,143,1.7,1.3
161,Freestone,19816,20429,20472,613,656,3.1,3.3
163,Frio,17217,19411,19735,2194,2518,12.7,14.6
165,Gaines,17526,21004,21200,3478,3674,19.8,21.0
167,Galveston,291309,337503,339241,46194,47932,15.9,16.5
169,Garza,6461,6398,6360,-63,-101,-1.0,-1.6
171,Gillespie,24837,26973,27016,2136,2179,8.6,8.8
173,Glasscock,1226,1380,1448,154,222,12.6,18.1
175,Goliad,7210,7791,7869,581,659,8.1,9.1
177,Gonzales,19807,20641,20659,834,852,4.2,4.3
179,Gray,22535,21993,21657,-542,-878,-2.4,-3.9
181,Grayson,120877,134738,137479,13861,16602,11.5,13.7
183,Gregg,121730,125906,126215,4176,4485,3.4,3.7
185,Grimes,26604,28871,29190,2267,2586,8.5,9.7
187,Guadalupe,131533,162618,165452,31085,33919,23.6,25.8
189,Hale,36273,33919,33987,-2354,-2286,-6.5,-6.3
191,Hall,3353,3106,3095,-247,-258,-7.4,-7.7
193,Hamilton,8517,8667,8625,150,108,1.8,1.3
195,Hansford,5613,5415,5405,-198,-208,-3.5,-3.7
197,Hardeman,4139,3816,3761,-323,-378,-7.8,-9.1
199,Hardin,54635,58355,58370,3720,3735,6.8,6.8
201,Harris,4092459,4686778,4714391,594319,621932,14.5,15.2
203,Harrison,65631,68453,68682,2822,3051,4.3,4.6
205,Hartley,6062,5825,5647,-237,-415,-3.9,-6.8
207,Haskell,5899,5743,5764,-156,-135,-2.6,-2.3
209,Hays,157107,221266,226853,64159,69746,40.8,44.4
211,Hemphill,3807,3848,3779,41,-28,1.1,-0.7
213,Henderson,78532,82517,82422,3985,3890,5.1,5.0
215,Hidalgo,774773,880024,890414,105251,115641,13.6,14.9
217,Hill,35089,36354,36532,1265,1443,3.6,4.1
219,Hockley,22935,23318,23232,383,297,1.7,1.3
221,Hood,51182,60178,61334,8996,10152,17.6,19.8
223,Hopkins,35161,36968,37163,1807,2002,5.1,5.7
225,Houston,23732,23339,23319,-393,-413,-1.7,-1.7
227,Howard,35012,36070,36004,1058,992,3.0,2.8
229,Hudspeth,3476,3669,3655,193,179,5.6,5.1
231,Hunt,86129,96208,97442,10079,11313,11.7,13.1
233,Hutchinson,22150,20782,20591,-1368,-1559,-6.2,-7.0
235,Irion,1599,1610,1652,11,53,0.7,3.3
237,Jack,9044,9249,9229,205,185,2.3,2.0
239,Jackson,14075,15234,15302,1159,1227,8.2,8.7
241,Jasper,35710,36407,36746,697,1036,2.0,2.9
243,Jeff Davis,2342,2407,2481,65,139,2.8,5.9
245,Jefferson,252273,252469,253046,196,773,0.1,0.3
247,Jim Hogg,5300,5130,5129,-170,-171,-3.2,-3.2
249,Jim Wells,40838,41080,41518,242,680,0.6,1.7
251,Johnson,150934,172289,173191,21355,22257,14.1,14.7
253,Jones,20202,19764,19704,-438,-498,-2.2,-2.5
255,Karnes,14824,15318,15304,494,480,3.3,3.2
257,Kaufman,103350,125620,128122,22270,24772,21.5,24.0
259,Kendall,33410,46469,47453,13059,14043,39.1,42.0
261,Kenedy,416,414,412,-2,-4,-0.5,-1.0
263,Kent,808,767,764,-41,-44,-5.1,-5.4
265,Kerr,49625,52496,52575,2871,2950,5.8,5.9
267,Kimble,4607,4672,4722,65,115,1.4,2.5
269,King,286,271,254,-15,-32,-5.2,-11.2
271,Kinney,3598,3717,3711,119,113,3.3,3.1
273,Kleberg,32061,32295,32580,234,519,0.7,1.6
275,Knox,3719,3465,3393,-254,-326,-6.8,-8.8
277,Lamar,49793,50485,50279,692,486,1.4,1.0
279,Lamb,13977,12862,12696,-1115,-1281,-8.0,-9.2
281,Lampasas,19677,21194,21220,1517,1543,7.7,7.8
283,La Salle,6886,7484,7403,598,517,8.7,7.5
285,Lavaca,19263,20256,20447,993,1184,5.2,6.1
287,Lee,16612,17366,17373,754,761,4.5,4.6
289,Leon,16801,17491,17453,690,652,4.1,3.9
291,Liberty,75643,86495,88248,10852,12605,14.3,16.7
293,Limestone,23384,23843,23725,459,341,2.0,1.5
295,Lipscomb,3302,3337,3320,35,18,1.1,0.5
