County,WHITE,BLACK,HISPANIC,OTHER,TOTAL
ANDERSON,471,114,50,4,639
ANDREWS,81,3,23,1,108
ANGELINA,666,124,54,6,850
ARANSAS,300,4,43,6,353
ARCHER,77,0,1,0,78
ARMSTRONG,23,0,1,0,24
ATASCOSA,197,3,204,2,406
AUSTIN,200,33,19,0,252
BAILEY,40,0,21,0,61
BANDERA,190,0,14,0,204
BASTROP,463,80,79,4,626
BAYLOR,55,2,3,0,60
BEE,106,6,139,1,252
BELL,1478,285,166,58,1987
BEXAR,5469,980,5560,322,12331
BLANCO,93,1,8,0,102
BORDEN,5,0,0,0,5
BOSQUE,227,3,6,3,239
BOWIE,756,183,11,38,988
BRAZORIA,1658,216,267,47,2188
BRAZOS,699,135,90,14,938
BREWSTER,44,0,13,0,57
BRISCOE,16,0,1,0,17
BROOKS,5,0,94,0,99
BROWN,456,12,32,2,502
BURLESON,146,28,15,2,191
BURNET,405,4,21,3,433
CALDWELL,198,18,89,0,305
CALHOUN,134,9,52,2,197
CALLAHAN,156,0,6,3,165
CAMERON,608,12,1878,6,2504
CAMP,115,22,4,0,141
CARSON,70,0,3,0,73
CASS,332,65,2,2,401
CASTRO,41,2,21,0,64
CHAMBERS,221,33,17,3,274
CHEROKEE,373,78,21,2,474
CHILDRESS,59,3,6,1,69
CLAY,108,0,2,1,111
COCHRAN,19,3,12,1,35
COKE,53,0,2,0,55
COLEMAN,103,2,8,0,113
COLLIN,2988,198,180,200,3566
COLLINGSWORTH,32,2,3,0,37
COLORADO,204,42,31,0,277
COMAL,875,7,116,3,1001
COMANCHE,164,0,13,2,179
CONCHO,27,0,12,0,39
COOKE,372,10,20,2,404
CORYELL,343,28,15,10,396
COTTLE,27,6,2,0,35
CRANE,37,1,13,1,52
CROCKETT,10,0,21,0,31
CROSBY,39,1,11,0,51
CULBERSON,5,0,17,0,22
DALLAM,36,0,8,0,44
DALLAS,8704,3985,1977,482,15148
DAWSON,79,10,58,0,147
DEAF SMITH,96,3,69,1,169
DELTA,62,8,0,0,70
DENTON,2585,163,167,119,3034
DEWITT,166,19,36,1,222
DICKENS,31,1,5,0,37
DIMMIT,10,1,75,0,86
DONLEY,55,1,0,0,56
DUVAL,13,0,115,0,128
EASTLAND,229,0,12,5,246
ECTOR,771,67,308,10,1156
EDWARDS,17,0,3,0,20
ELLIS,905,116,83,4,1108
EL PASO,1173,123,3496,52,4844
ERATH,281,2,16,1,300
FALLS,109,53,17,0,179
FANNIN,363,11,7,2,383
FAYETTE,312,21,15,1,349
FISHER,48,3,10,0,61
FLOYD,37,3,19,0,59
FOARD,18,1,2,0,21
FORT BEND,1465,509,381,302,2657
FRANKLIN,97,4,1,0,102
FREESTONE,177,37,5,2,221
FRIO,36,0,93,1,130
GAINES,82,2,28,0,112
GALVESTON,1690,385,258,38,2371
GARZA,43,4,10,1,58
GILLESPIE,324,0,23,3,350
GLASSCOCK,9,0,3,0,12
GOLIAD,63,3,7,0,73
GONZALES,135,14,57,1,207
GRAY,229,11,11,3,254
GRAYSON,1265,61,31,7,1364
GREGG,1031,240,29,6,1306
GRIMES,217,44,18,1,280
GUADALUPE,714,41,181,10,946
HALE,213,11,86,1,311
HALL,44,2,3,0,49
HAMILTON,137,0,2,1,140
HANSFORD,38,0,9,0,47
